kind,source_path,snapshot_path,phase,purpose,inputs,outputs,used_in_paper,status,notes
script,scripts/clinical_trials/01_build_clin_trial_summaries.py,clinical_trials/legacy_snapshot/scripts/01_build_clin_trial_summaries.py,phase_I,LLM summarisation of raw clinical trial records into structured *_summarised.csv tables.,results/results_clinical_trials/<input_filename>.csv,results/results_clinical_trials/<input_filename>_summarised.csv,phase_i_primary,phase_i_core,Core stage. Merge with parallel variant into one canonical script with concurrency flag.
script,scripts/clinical_trials/01_build_clin_trial_summaries_parallel.py,clinical_trials/legacy_snapshot/scripts/01_build_clin_trial_summaries_parallel.py,phase_I,Parallel variant of clinical-trial LLM summarisation.,results/results_clinical_trials/<input_filename>.csv,results/results_clinical_trials/<input_filename>_summarised.csv,phase_i_reference,legacy_duplicate,Keep as provenance only; fold behavior into canonical stage 01 script.
script,scripts/clinical_trials/02_clin_trial_question_generation.py,clinical_trials/legacy_snapshot/scripts/02_clin_trial_question_generation.py,phase_I,Generate YES/NO clinical-trial questions from phase-specific summarised training data.,results/results_clinical_trials/phase_<PHASE>_train_split_summarised.csv,results/results_clinical_trials/generated_trial_questions_set_*_phase_<PHASE>.csv,phase_i_primary,phase_i_core,Core stage for question generation.
script,scripts/clinical_trials/03_validate_questions.py,clinical_trials/legacy_snapshot/scripts/03_validate_questions.py,phase_I,Legacy question answering script over trial summaries (questions/vanilla modes).,phase_<PHASE>_<split>_summarised.csv + generated_trial_questions_set_<k>_phase_<PHASE>.csv,phase_<PHASE>_predictions_<split>_trials_set_<k>_question_model_<MODEL>_*.csv,phase_i_reference,legacy_variant,Superseded by parallel/final variants; keep for provenance only.
script,scripts/clinical_trials/03_validate_questions_final.py,clinical_trials/legacy_snapshot/scripts/03_validate_questions_final.py,phase_I,Evaluate selected final question list against full phase split (with resume + inversion handling).,phase_<PHASE>_<test_set>_summarised.csv + --questions_file CSV,phase_<PHASE>_FINAL_predictions_<test_set>_<MODEL>.csv,phase_i_primary,phase_i_core,Keep as core final-evaluation stage (can be merged with 03 parallel under mode flags).
script,scripts/clinical_trials/03_validate_questions_parallel.py,clinical_trials/legacy_snapshot/scripts/03_validate_questions_parallel.py,phase_I,Parallelized question answering over clinical-trial summaries (main prediction generator).,phase_<PHASE>_<split>_summarised.csv + generated_trial_questions_set_<k>_phase_<PHASE>.csv,phase_<PHASE>_predictions_<split>_trials_set_<k>_question_model_<MODEL>_*.csv,phase_i_primary,phase_i_core,Likely core inference stage; candidate for canonical stage 03 script.
script,scripts/clinical_trials/04_explore_predictions.py,clinical_trials/legacy_snapshot/scripts/04_explore_predictions.py,phase_I,Exploratory analysis and plotting over prediction files.,phase_<PHASE>_predictions_<split>_trials_set_*.csv,figures/*.pdf + derived CSV caches,phase_i_supplementary,exploratory,Reference only; not canonical pipeline.
script,scripts/clinical_trials/05_stats_test_questions.py,clinical_trials/legacy_snapshot/scripts/05_stats_test_questions.py,phase_I,Statistical filtering/permutation diagnostics for candidate questions.,phase_<PHASE>_predictions_<split>_trials_set_*.csv,significance/baseline CSV outputs,phase_i_supplementary,supplementary,Potentially fold into canonical postprocess stage.
script,scripts/clinical_trials/06_analyse_final_predictions_V3.py,clinical_trials/legacy_snapshot/scripts/06_analyse_final_predictions_V3.py,phase_I,Postprocess question prediction matrices (dedup/filter/inversion) and produce final combined question matrices.,phase_<PHASE>_predictions_<split>_trials_set_*.csv,phase_<PHASE>_filtered_combined_questions_with_success_<MODEL>_<split>.csv + figures,phase_i_primary,phase_i_core,Core postprocess candidate; merge with save_filtered_questions into one canonical stage.
script,scripts/clinical_trials/07_hyperparameter_validation.py,clinical_trials/legacy_snapshot/scripts/07_hyperparameter_validation.py,phase_I,Main RRF hyperparameter validation across repeated seeds/folds using filtered combined matrices.,phase_<PHASE>_filtered_combined_questions_with_success_<MODEL>_val_split.csv + *_test.csv,metric_stability_results_phase_<PHASE>_<n>seeds.csv + optional figures,phase_i_primary,phase_i_core_eval,Primary evaluation stage analogous to founders primary model script.
script,scripts/clinical_trials/07_hyperparameter_validation_BOOTSTRAP.py,clinical_trials/legacy_snapshot/scripts/07_hyperparameter_validation_BOOTSTRAP.py,phase_I,Bootstrap/robustness extension of hyperparameter validation.,phase_<PHASE>_filtered_combined_questions_with_success_<MODEL>_val_split.csv + *_test.csv,metric_stability_results_phase_<PHASE>_<n>seeds.csv + bootstrap CSV,phase_i_supplementary,supplementary,Keep as secondary robustness analysis.
script,scripts/clinical_trials/08_stats_comparison.py,clinical_trials/legacy_snapshot/scripts/08_stats_comparison.py,phase_I,Statistical comparison script for model score distributions.,summary metrics CSVs from evaluation stages,printed statistical test results,phase_i_primary,phase_i_supporting,Supporting stats stage for paper claims.
script,scripts/clinical_trials/09_logistic_regression.py,clinical_trials/legacy_snapshot/scripts/09_logistic_regression.py,phase_I,Elastic-net/L1 logistic regression baseline on filtered combined question matrix.,phase_<PHASE>_filtered_combined_questions_with_success_<MODEL>_val_split.csv + *_test.csv,printed baseline metrics and feature-importance summary,phase_i_primary,phase_i_baseline,Baseline comparator for Table 1-style reporting.
script,scripts/clinical_trials/09_logistic_regression_explore.py,clinical_trials/legacy_snapshot/scripts/09_logistic_regression_explore.py,phase_I,Extended logistic-regression exploration with repeats/bootstrap outputs.,phase_<PHASE>_filtered_combined_questions_with_success_<MODEL>_val_split.csv + *_test.csv,logreg_repeats_phase_<PHASE>.csv + elasticnet_bootstrap_ci_phase_<PHASE>.csv,phase_i_supplementary,exploratory,Reference only unless explicit supplementary inclusion.
script,scripts/clinical_trials/09_question_stability_analysis.py,clinical_trials/legacy_snapshot/scripts/09_question_stability_analysis.py,stability_analysis,Question-level stability diagnostics across folds/samples.,phase_<PHASE> filtered combined question matrices,question_stability_metrics_phase_<PHASE>.csv + stability figures,future_reference,supplementary_future,Future-reference stability analysis.
script,scripts/clinical_trials/10_optimization_sensitivity_analysis.py,clinical_trials/legacy_snapshot/scripts/10_optimization_sensitivity_analysis.py,phase_I,Sensitivity study over optimisation targets (F1/Fbeta/MCC/BalAcc/etc).,phase_<PHASE>_filtered_combined_questions_with_success_<MODEL>_val_split.csv + *_test.csv,printed optimisation-target sensitivity table,phase_i_supplementary,supplementary,Map into new ablation script (similar to founders optimisation-target ablation).
script,scripts/clinical_trials/11_metric_sensitivity_supplementary.py,clinical_trials/legacy_snapshot/scripts/11_metric_sensitivity_supplementary.py,phase_I,Supplementary metric sensitivity + figure generation.,phase_<PHASE>_filtered_combined_questions_with_success_<MODEL>_val_split.csv + *_test.csv,metric_sensitivity_table_phase_<PHASE>_*.csv + figures,phase_i_supplementary,supplementary,Keep as secondary analysis.
script,scripts/clinical_trials/12_f1_stability_analysis.py,clinical_trials/legacy_snapshot/scripts/12_f1_stability_analysis.py,stability_analysis,Bootstrap stability trajectories/correlation analysis across phases.,phase_I_test/phase_II/phase_III filtered combined CSVs,stability_analysis figures + stability CSVs,future_reference,supplementary_future,Not needed for Phase I paper core.
script,scripts/clinical_trials/13_stability_analysis_full_sets.py,clinical_trials/legacy_snapshot/scripts/13_stability_analysis_full_sets.py,stability_analysis,Full-set stability analysis and combined-phase trajectory figures.,phase_I_test + phase_II + phase_III prediction matrices,stability_analysis combined figures + CSVs,future_reference,supplementary_future,Future-reference only for this paper cycle.
script,scripts/clinical_trials/archive/09_stability_exploration.py,clinical_trials/legacy_snapshot/scripts/archive/09_stability_exploration.py,stability_analysis,─── Logging ────────────────────────────────────────────────────────────────,"df = pd.read_csv(csv_path, dtype=str)",,future_reference,imported_snapshot,Auto-generated scaffold. Verify inputs/outputs manually.
script,scripts/clinical_trials/clinical_trial_results_figures.ipynb,clinical_trials/legacy_snapshot/scripts/clinical_trial_results_figures.ipynb,figures,Notebook for figures over clinical-trial outputs.,results/results_clinical_trials/*,figures for reports/paper,phase_i_supplementary,figure_notebook,Keep as report-generation artifact; not pipeline-critical.
script,scripts/clinical_trials/compare_and_combine.py,clinical_trials/legacy_snapshot/scripts/compare_and_combine.py,phase_III,Phase III-specific merge of strict vs NEWVERSION question lists.,phase_III_filtered_combined_questions_with_success_* files,phase_III_filtered_combined_questions_with_success_*_COMBINED.csv,future_reference,phase_iii_only,Keep only for Phase III legacy provenance.
script,scripts/clinical_trials/save_filtered_questions.py,clinical_trials/legacy_snapshot/scripts/save_filtered_questions.py,phase_I,Legacy filter/rank/inversion helper for selecting top questions from prediction sets.,phase_<PHASE>_predictions_<split>_trials_set_*.csv (currently hardcoded in script),phase_<PHASE>_filtered_combined_questions_with_success_<MODEL>_<split>_NEWVERSION.csv,phase_i_reference,legacy_helper,Refactor needed (hardcoded absolute paths); fold into canonical postprocess stage.
result_dir,results/results_clinical_trials/archive,clinical_trials/legacy_snapshot/results/archive,archive,Legacy results folder copied as provenance snapshot.,,,future_reference,archive,Historical artifacts only.
result_dir,results/results_clinical_trials/figures,clinical_trials/legacy_snapshot/results/figures,figures,Legacy results folder copied as provenance snapshot.,,,phase_i_supplementary,figure_assets,Legacy figure assets; select only Phase I-relevant items later.
result_dir,results/results_clinical_trials/phase_I,clinical_trials/legacy_snapshot/results/phase_I,phase_I,Legacy results folder copied as provenance snapshot.,,,phase_i_primary,phase_i_key_results,Primary legacy result set to mine for paper migration.
result_dir,results/results_clinical_trials/phase_II,clinical_trials/legacy_snapshot/results/phase_II,phase_II,Legacy results folder copied as provenance snapshot.,,,future_reference,future_reference,Ported for provenance/future work; not current paper scope.
result_dir,results/results_clinical_trials/phase_III,clinical_trials/legacy_snapshot/results/phase_III,phase_III,Legacy results folder copied as provenance snapshot.,,,future_reference,future_reference,Ported for provenance/future work; not current paper scope.
result_dir,results/results_clinical_trials/phase_I_test,clinical_trials/legacy_snapshot/results/phase_I_test,phase_I_test,Legacy results folder copied as provenance snapshot.,,,phase_i_primary,phase_i_key_results,Primary holdout/test legacy result set for paper migration.
result_dir,results/results_clinical_trials/stability_analysis,clinical_trials/legacy_snapshot/results/stability_analysis,stability_analysis,Legacy results folder copied as provenance snapshot.,,,future_reference,future_reference,Supplementary/future analysis outputs.
