idx1,idx2,similarity,question1,question2
23,80,0.9975783,Does the founder have a background in technology or engineering?,Does the founder have a background in engineering or technology?
84,90,0.99483687,Has the founder co-founded a company with a small team?,Has the founder co-founded the company with a small team?
18,27,0.9924089,Did the founder co-found their company with a small team?,Did the founder co-found the company with a small team?
49,90,0.9921532,Has the founder co-founded their company with a small team?,Has the founder co-founded the company with a small team?
52,105,0.9912781,Has the founder held a C-level role at a public tech company?,Has the founder previously held a C-level role at a public tech company?
49,84,0.9909488,Has the founder co-founded their company with a small team?,Has the founder co-founded a company with a small team?
42,49,0.99042356,Has the founder co-founded their current company with a small team?,Has the founder co-founded their company with a small team?
13,22,0.9899546,Has the founder's previous startup been acquired?,Has the founder's previous startups been acquired?
18,106,0.9893287,Did the founder co-found their company with a small team?,Did the founder co-found their company as part of a small team?
84,114,0.98756284,Has the founder co-founded a company with a small team?,Has the founder previously co-founded a company with a small team?
18,72,0.9868308,Did the founder co-found their company with a small team?,Did the founder co-found their current company with a small team?
62,98,0.9864184,Has the founder held a senior leadership role in a technology company?,Has the founder previously held a senior leadership role in a technology company?
5,28,0.98629916,Has the founder worked full-time at a moderate number of companies?,Has the founder previously worked full-time at a moderate number of companies?
34,59,0.98592854,Does the founder hold an advanced degree in a technical field?,Does the founder hold advanced degrees in a technical field?
36,69,0.9850832,Has the founder worked full-time at a large number of companies?,Has the founder worked full-time at a small number of companies?
36,94,0.98498666,Has the founder worked full-time at a large number of companies?,Has the founder previously worked full-time at a large number of companies?
42,114,0.98462766,Has the founder co-founded their current company with a small team?,Has the founder previously co-founded a company with a small team?
25,110,0.9843884,Does the founder hold an advanced degree from a prestigious institution?,Does the founder hold an advanced degree from a prestigious university?
27,106,0.9838545,Did the founder co-found the company with a small team?,Did the founder co-found their company as part of a small team?
90,114,0.9836521,Has the founder co-founded the company with a small team?,Has the founder previously co-founded a company with a small team?
49,114,0.98187894,Has the founder co-founded their company with a small team?,Has the founder previously co-founded a company with a small team?
17,55,0.9816953,Has the founder held a leadership role in a public technology company?,Has the founder held a leadership role in a public tech company?
42,84,0.9812227,Has the founder co-founded their current company with a small team?,Has the founder co-founded a company with a small team?
42,90,0.9806787,Has the founder co-founded their current company with a small team?,Has the founder co-founded the company with a small team?
38,46,0.9803337,Did the founder start their company alone?,Did the founder start their current company alone?
